2485779,1SDA067132R1
2487164,1SDA100722R1
2586834,
2586245,1SDA072141R1
2586034,1SDA070794R1
2586049,1SDA070831R1
2586032,1SDA070792R1
2487085,1SDA100475R1
2586442,1SDA073398R1
2586028,1SDA070784R1
2586574,1SDA073914R1
2586835,
2487163,1SDA100721R1
2487081,1SDA100471R1
2586031,1SDA070791R1
2487180,1SDA100743R1
2586463,1SDA073480R1
2487147,1SDA107584R1
2487179,1SDA100742R1
2586026,1SDA070782R1
2586025,1SDA070781R1
2487720,1SDA100764R1
2487151,1SDA107590R1
2586572,1SDA073912R1
2487365,1SDA101914R1
2487162,1SDA100720R1
2487099,1SDA100499R1
2586641,1SDA074130R1
2586795,1SDA074102R1
2586772,1SDA074104R1
2586643,1SDA074132R1
2487137,1SDA107571R1
2487168,1SDA100726R1
2586440,1SDA073396R1
2487142,1SDA107577R1
2487362,1SDA101911R1
2487167,1SDA100725R1
888888,1SDA100680R1
888888,1SDA100681R1
2487367,1SDA101916R1
2487366,1SDA101915R1
2487150,1SDA107589R1
2487132,1SDA107564R1
2487178,1SDA100741R1
2487083,1SDA100473R1
2487084,1SDA100474R1
2487161,1SDA100719R1
2487095,1SDA100495R1
2586573,1SDA073913R1
2487043,1SDA100405R1
2586571,1SDA073911R1
2487141,1SDA107576R1
2487359,1SDA101908R1
2586836,
2487146,1SDA107583R1
2487364,1SDA101913R1
2487059,1SDA100433R1
2487363,1SDA101912R1
2487131,1SDA107563R1
2487656,1SDA100601R1
2487079,1SDA100469R1
2487080,1SDA100470R1
2487077,1SDA100467R1
2487136,1SDA107570R1
2487039,1SDA100401R1
2487361,1SDA101910R1
2487212,1SDA100787R1
2487360,1SDA101909R1
2487211,1SDA100786R1
2487149,1SDA107588R1
2586760,1SDA076249R1
2586759,1SDA076248R1
2485618,1SDA068510R1
2487628,1SDA105131R1
2586792,1SDA076250R1
2586998,1SDA074127R1
2487055,1SDA100429R1
2586653,1SDA074171R1
3734159,2CSF204101R2950
2487097,1SDA100497R1
2487098,1SDA100498R1
3734168,2CSF204101R4950
888888,1SDA100599R1
2487658,1SDA100600R1
2586999,1SDA074129R1
2487358,1SDA101907R1
2487357,1SDA101906R1
2487091,1SDA100491R1
888888,1SDA100326R1
2586774,1SDA074099R1
2586773,1SDA074101R1
2485237,1SDA067130R1
2586570,1SDA073910R1
2710001,2CCG000242R0001
